MJD,FREQUENCY,NPROFILES,FREQUENCY_ERR,FDOT,FDOT_ERR,AMPLITUDE,AMPSIG

54694.095137195545,0.0,220,1.3663873232871993,-1.2982423206308177e-12,0.0,0.2631758749485016,0.020351791754364967

54697.00474612148,-0.000754372320066875,250,1.4008342930083018,-1.2982423219699666e-12,0.0,0.24973157048225403,0.020412776619195938

54701.643938699075,-0.004492523041539038,359,2.0002640610528033,-1.2982423217156114e-12,0.0,0.16291414201259613,0.016385627910494804

54704.54489644907,-0.0045025935866416875,405,1.0529983285323397,-1.2982423217468696e-12,0.0,0.2320680022239685,0.014677847735583782

54707.45584257504,-0.00595887383847027,334,1.1003719180280314,-1.2982423212762008e-12,0.0,0.2685745656490326,0.016545254737138748

54712.083061773614,-0.008219940376084088,266,1.7761932724624785,-1.2982423214149902e-12,0.0,0.18189887702465057,0.017540646716952324

54715.0008815109,-0.007158970676940852,267,1.104039739630025,-1.2982423214707067e-12,0.0,0.27970439195632935,0.018139740452170372

54717.922524166155,-0.009392808947549736,267,1.0811395156906656,-1.2982423212242612e-12,0.0,0.30736202001571655,0.01842554099857807

54722.52988886731,-0.011617622184023112,93,1.8956993130814226,-1.2982423219545404e-12,0.0,0.22256986796855927,0.03250911086797714

54725.43948175349,-0.012105127983984262,243,1.4760038880012871,-1.2982423216377722e-12,0.0,0.2039402276277542,0.019059963524341583

54728.349497688585,-0.014381724241542944,164,2.140422310503709,-1.2982423214180598e-12,0.0,0.2694016993045807,0.023136382922530174

54732.99045193879,-0.015632274374701906,194,2.0002931933049695,-1.2982423210357043e-12,0.0,0.17266839742660522,0.020450381562113762

54735.91087864773,-0.01602593351382099,244,1.6458426443932694,-1.2982423216047942e-12,0.0,0.18560022115707397,0.01885971613228321

54738.831207531526,-0.019076547031424147,230,1.6907263500343106,-1.2982423212084226e-12,0.0,0.2029157131910324,0.019665900617837906

54743.426807452866,-0.02295688236519272,238,3.4963167649948446,-1.2982423215113087e-12,0.0,0.14171822369098663,0.0187524501234293

54746.3403857866,-0.02255253859506061,274,1.298267164884237,-1.2982423211627587e-12,0.0,0.26854565739631653,0.017639588564634323

54749.25766213414,-0.0227597413490828,299,1.3948559285381634,-1.2982423214461529e-12,0.0,0.2801005244255066,0.017590787261724472

54753.87514324896,-0.024626374369188134,355,1.4425174299503851,-1.2982423214640384e-12,0.0,0.23295079171657562,0.015568693168461323

